"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.858395917×10^0,-1.409987350×10^-1,2.489141577×10^0,-5.865364679×10^-1,2.561197271×10^0
1.868345917×10^0,-1.106230344×10^-1,2.604817044×10^0,-5.811899201×10^-1,2.671159114×10^0
1.878294917×10^0,-8.887060644×10^-2,2.728087460×10^0,-5.700907353×10^-1,2.788433722×10^0
1.888244917×10^0,-7.019951496×10^-2,2.828901644×10^0,-5.444143689×10^-1,2.881666096×10^0
1.898193917×10^0,-4.218722239×10^-2,2.916706942×10^0,-5.290747102×10^-1,2.964604392×10^0
1.908142917×10^0,1.070932165×10^-2,2.986896334×10^0,-5.255640785×10^-1,3.032801016×10^0
1.918092917×10^0,2.319199417×10^-2,3.043976269×10^0,-4.946568660×10^-1,3.083993322×10^0
1.928041917×10^0,3.894335160×10^-2,3.083626238×10^0,-4.625018942×10^-1,3.118361006×10^0
1.937991917×10^0,3.900553308×10^-2,3.131468741×10^0,-4.193201701×10^-1,3.159659367×10^0
1.947940917×10^0,2.409924449×10^-2,3.164904290×10^0,-3.662625718×10^-1,3.186118047×10^0
1.957890917×10^0,-2.976799216×10^-3,3.185741428×10^0,-3.401675813×10^-1,3.203852570×10^0
1.967839917×10^0,-2.997461814×10^-2,3.176902776×10^0,-3.059321336×10^-1,3.191739995×10^0
1.977789917×10^0,-2.119272150×10^-2,3.166975958×10^0,-2.974104381×10^-1,3.180980795×10^0
1.987738917×10^0,6.608687583×10^-3,3.153884627×10^0,-3.070280115×10^-1,3.168800738×10^0
1.997688917×10^0,3.005719179×10^-2,3.130456004×10^0,-3.135557334×10^-1,3.146263724×10^0
2.007637917×10^0,7.545977980×10^-3,3.100711218×10^0,-3.332760894×10^-1,3.118579797×10^0
2.017587917×10^0,-2.285203340×10^-2,3.051613317×10^0,-3.202063930×10^-1,3.068452083×10^0
2.027536917×10^0,-2.574971247×10^-2,2.983742931×10^0,-3.527214802×10^-1,3.004629323×10^0
2.037486917×10^0,-5.083865304×10^-2,2.912186460×10^0,-3.727868585×10^-1,2.936389720×10^0
2.047435917×10^0,-4.519685738×10^-2,2.810289956×10^0,-3.957534790×10^-1,2.838378624×10^0
2.057385917×10^0,-2.403859790×10^-2,2.735808708×10^0,-4.380499713×10^-1,2.770760711×10^0
2.067334917×10^0,-2.660300396×10^-3,2.638282998×10^0,-4.705489055×10^-1,2.679918008×10^0
2.077284917×10^0,3.999166600×10^-3,2.530116525×10^0,-4.927039325×10^-1,2.577646754×10^0
2.087233917×10^0,1.773650542×10^-2,2.415474261×10^0,-5.118605804×10^-1,2.469176329×10^0
2.097182917×10^0,1.859944481×10^-2,2.263804504×10^0,-5.278714263×10^-1,2.324608572×10^0
2.107132917×10^0,2.294498585×10^-2,2.141105361×10^0,-5.234204527×10^-1,2.204274849×10^0
2.117081917×10^0,3.592087101×10^-2,1.990331982×10^0,-4.859373884×10^-1,2.049108795×10^0
2.127031917×10^0,5.988118932×10^-2,1.838729467×10^0,-4.727450466×10^-1,1.899473530×10^0
2.136980917×10^0,8.552546918×10^-2,1.675835980×10^0,-4.523277390×10^-1,1.737912892×10^0
2.146930917×10^0,1.107271879×10^-1,1.508686888×10^0,-4.178127214×10^-1,1.569383352×10^0
